Fiscal Year,Slicer,COVID FILTER,Data Slicer,Location,Offenses,Select Sheet,Stage Filter,AGE ,AGE1,All,Basic Race Sex Ethnicity,Category1,Circuit1,County   ,COVIDMONTHS,Date,Ethnic Group,Gender1,Offense1,Region,Stage,Stages1,Arrests,Arrests per 1000,Arrests/Youth,Arrests/Youth ,Youth,Youth per 1000,Youth Population,Youthpop
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Other,19,St Lucie,1,2/18/2020,Hispanic,Female,Violation of Probation Non-Law,South,Arrests,Intake,1,0,0,0,0,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Felony,19,St Lucie,1,12/12/2019,Hispanic,Female,Auto Theft,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,19,St Lucie,1,9/6/2019,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,0,0,0,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Misdemeanor,19,St Lucie,1,10/28/2019,Hispanic,Female,Petit Larceny,South,Arrests,Intake,1,0,0,0,0,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Felony,19,St Lucie,1,7/8/2019,Hispanic,Female,Obstruct Justice,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Hispanic Female,Misdemeanor,19,St Lucie,2,4/26/2020,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Misdemeanor,19,St Lucie,1,12/17/2019,Hispanic,Female,Petit Larceny,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Misdemeanor,19,St Lucie,1,11/24/2019,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Hispanic Female,Other,19,St Lucie,1,12/3/2019,Hispanic,Female,Violation of Probation Non-Law,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Felony,19,St Lucie,2,5/4/2020,Hispanic,Female,Arson,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Hispanic Female,Felony,19,St Lucie,1,1/27/2020,Hispanic,Female,Sexual Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Hispanic Female,Felony,19,St Lucie,2,4/8/2020,Hispanic,Female,Felony Vandalism,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Hispanic Female,Other,19,St Lucie,2,5/12/2020,Hispanic,Female,Violation of Probation LEO,South,Arrests,Intake,1,0,0,0,0,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Misdemeanor,19,St Lucie,1,12/17/2019,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Hispanic Female,Misdemeanor,19,St Lucie,1,10/31/2019,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Hispanic Female,Misdemeanor,19,St Lucie,1,3/2/2020,Hispanic,Female,Assault/Battery,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Hispanic Female,Misdemeanor,19,St Lucie,1,1/16/2020,Hispanic,Female,Disorderly Conduct,South,Arrests,Intake,1,0,1,1,1,0,4457,4457
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,,All,Other Female,,3,Dixie,1,,Other,Female,,North,,Intake,,,0,,,,4,4
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,7,Putnam,1,10/29/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,1,0,0,0,0,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,7,Putnam,1,11/17/2019,Black,Female,Alcohol Offenses,North,Arrests,Intake,1,1,0,0,0,0,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,7,Putnam,1,3/12/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,11,All,Black Female,Misdemeanor,7,Putnam,1,3/16/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Felony,7,Putnam,1,9/8/2019,Black,Female,Burglary,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Felony,7,Putnam,1,2/25/2020,Black,Female,Felony Vandalism,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Felony,7,Putnam,1,1/30/2020,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,7,Putnam,1,9/13/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,7,Putnam,1,7/29/2019,Black,Female,Petit Larceny,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Black Female,Misdemeanor,7,Putnam,1,9/27/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,7,Putnam,2,6/1/2020,Black,Female,Assault/Battery,North,Arrests,Intake,2,3,2,2,2,3,750,1500
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,7,Putnam,1,3/18/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,7,Putnam,1,3/12/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,7,Putnam,1,9/11/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,7,Putnam,1,3/12/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,7,Putnam,1,12/3/2019,Black,Female,Petit Larceny,North,Arrests,Intake,1,1,0,0,0,0,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,7,Putnam,1,1/17/2020,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,1,0,0,0,0,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Felony,7,Putnam,1,2/6/2020,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,1,1,1,1,1,750,750
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Felony,7,Putnam,1,10/4/2019,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,1,1,1,1,1,750,750
